City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,santo antonio,-6.3106,-35.4789,20.24,85,0,3.91,BR,2024-08-02 00:39:59
271,kuanda,56.3161,116.0806,17.6,87,100,1.72,RU,2024-08-02 00:40:00
272,namibe,-15.1961,12.1522,16.35,91,4,2.17,AO,2024-08-02 00:40:02
273,kiruna,67.8557,20.2251,11.51,94,100,4.63,SE,2024-08-02 00:40:03
274,tarfaya,27.9358,-12.9218,21.01,93,27,10.09,MA,2024-08-02 00:40:04
275,tapa,59.2606,25.9586,14.29,98,100,3.12,EE,2024-08-02 00:40:05
276,isna,25.2934,32.554,32.35,22,3,0.2,EG,2024-08-02 00:40:06
277,nemuro,43.3236,145.575,17.05,90,100,5.45,JP,2024-08-02 00:40:07
278,panaba,21.2833,-88.2667,26.53,88,99,5.14,MX,2024-08-02 00:40:08
279,dakhla,23.6848,-15.958,19.99,91,15,12.62,EH,2024-08-02 00:40:09
280,rivera,-30.9053,-55.5508,21.28,93,81,5.7,UY,2024-08-02 00:40:10
281,khowy,38.5503,44.9521,20.63,60,0,1.94,IR,2024-08-02 00:40:11
282,vorgashor,67.5833,63.95,16.53,83,76,4.36,RU,2024-08-02 00:40:13
283,ola,59.5833,151.2833,9.64,90,100,6.95,RU,2024-08-02 00:40:15
284,longyearbyen,78.2186,15.6401,11.91,76,0,1.03,SJ,2024-08-02 00:40:16
285,arteche,12.2645,125.4048,29.8,67,40,1.48,PH,2024-08-02 00:40:17
286,okola,4.0167,11.3833,19.67,96,100,1.94,CM,2024-08-02 00:40:18
287,sungai penuh,-2.0833,101.3833,21.28,89,100,1.85,ID,2024-08-02 00:40:19
288,shibirghan,36.6676,65.7529,28.37,14,0,5.22,AF,2024-08-02 00:40:20
289,labuan,5.2767,115.2417,27.2,83,20,1.03,MY,2024-08-02 00:40:21
290,es castell,39.8795,4.2854,26.38,94,40,2.06,ES,2024-08-02 00:40:22
291,jinchang,38.4953,102.1739,21.38,59,100,1.63,CN,2024-08-02 00:36:21
292,richards bay,-28.783,32.0377,18.74,76,1,6.22,ZA,2024-08-02 00:40:24
293,nabire,-3.3667,135.4833,27.59,79,72,1.64,ID,2024-08-02 00:40:25
294,bratsk,56.1325,101.6142,16.27,83,0,1.18,RU,2024-08-02 00:40:26
295,seryshevo,51.0933,128.3786,22.04,41,0,6.39,RU,2024-08-02 00:40:27
296,dor marunt,44.45,26.9167,20.09,53,3,1.07,RO,2024-08-02 00:40:29
297,zouerate,22.7187,-12.4521,33.63,7,0,3.67,MR,2024-08-02 00:40:30
298,aliveri,38.4167,24.0333,26.35,46,0,3.37,GR,2024-08-02 00:40:32
299,san antonio de pale,-1.4014,5.6325,22.66,77,100,5.24,GQ,2024-08-02 00:40:33
